alphabet,mode,payload,sig_len,signatures,alpha,seed,planted,found,report_sig,report_score,report_pos,mismatches
lower26,literal,512,16,10000,0.50,1,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,1,0,0,,,,0
lower26,literal,512,16,10000,0.50,2,1,1,1356,9,9,0
lower26,literal,512,16,10000,0.50,2,0,0,,,,0
lower26,literal,512,16,10000,0.50,3,1,1,1356,9,9,0
lower26,literal,512,16,10000,0.50,3,0,0,,,,0
lower26,literal,512,16,10000,0.50,4,1,1,1356,9,9,0
lower26,literal,512,16,10000,0.50,4,0,1,6056,9,308,0
lower26,literal,512,16,10000,0.50,5,1,1,1356,9,9,0
lower26,literal,512,16,10000,0.50,5,0,0,,,,0
lower26,literal,512,16,10000,0.60,1,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,1,0,0,,,,0
lower26,literal,512,16,10000,0.60,2,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,2,0,0,,,,0
lower26,literal,512,16,10000,0.60,3,1,1,1356,10,10,0
lower26,literal,512,16,10000,0.60,3,0,0,,,,0
lower26,literal,512,16,10000,0.60,4,1,1,1356,10,10,0
lower26,literal,512,16,10000,0.60,4,0,0,,,,0
lower26,literal,512,16,10000,0.60,5,1,1,1356,10,10,0
lower26,literal,512,16,10000,0.60,5,0,0,,,,0
lower26,literal,512,16,10000,0.70,1,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,1,0,0,,,,0
lower26,literal,512,16,10000,0.70,2,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,2,0,0,,,,0
lower26,literal,512,16,10000,0.70,3,1,1,1356,12,12,0
lower26,literal,512,16,10000,0.70,3,0,0,,,,0
lower26,literal,512,16,10000,0.70,4,1,1,1356,12,12,0
lower26,literal,512,16,10000,0.70,4,0,0,,,,0
lower26,literal,512,16,10000,0.70,5,1,1,1356,12,12,0
lower26,literal,512,16,10000,0.70,5,0,0,,,,0
lower26,literal,512,16,10000,0.80,1,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,1,0,0,,,,0
lower26,literal,512,16,10000,0.80,2,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,2,0,0,,,,0
lower26,literal,512,16,10000,0.80,3,1,1,1356,13,13,0
lower26,literal,512,16,10000,0.80,3,0,0,,,,0
lower26,literal,512,16,10000,0.80,4,1,1,1356,13,13,0
lower26,literal,512,16,10000,0.80,4,0,0,,,,0
lower26,literal,512,16,10000,0.80,5,1,1,1356,13,13,0
lower26,literal,512,16,10000,0.80,5,0,0,,,,0
lower26,literal,512,16,10000,0.90,1,1,1,1356,15,14,0
lower26,literal,512,16,10000,0.90,1,0,0,,,,0
lower26,literal,512,16,10000,0.90,2,1,1,1356,15,14,0
lower26,literal,512,16,10000,0.90,2,0,0,,,,0
lower26,literal,512,16,10000,0.90,3,1,1,1356,15,16,0
lower26,literal,512,16,10000,0.90,3,0,0,,,,0
lower26,literal,512,16,10000,0.90,4,1,1,1356,15,16,0
lower26,literal,512,16,10000,0.90,4,0,0,,,,0
lower26,literal,512,16,10000,0.90,5,1,1,1356,15,16,0
lower26,literal,512,16,10000,0.90,5,0,0,,,,0
lower26,literal,512,16,10000,0.95,1,1,1,1356,16,16,0
lower26,literal,512,16,10000,0.95,1,0,0,,,,0
lower26,literal,512,16,10000,0.95,2,1,1,1356,16,16,0
lower26,literal,512,16,10000,0.95,2,0,0,,,,0
lower26,literal,512,16,10000,0.95,3,1,0,,,,0
lower26,literal,512,16,10000,0.95,3,0,0,,,,0
lower26,literal,512,16,10000,0.95,4,1,0,,,,0
lower26,literal,512,16,10000,0.95,4,0,0,,,,0
lower26,literal,512,16,10000,0.95,5,1,0,,,,0
lower26,literal,512,16,10000,0.95,5,0,0,,,,0
lower26,literal,1024,32,10000,0.50,1,1,1,1356,17,17,0
lower26,literal,1024,32,10000,0.50,1,0,0,,,,0
lower26,literal,1024,32,10000,0.50,2,1,1,1356,17,17,0
lower26,literal,1024,32,10000,0.50,2,0,0,,,,0
lower26,literal,1024,32,10000,0.50,3,1,1,1356,17,15,0
lower26,literal,1024,32,10000,0.50,3,0,0,,,,0
lower26,literal,1024,32,10000,0.50,4,1,1,1356,17,16,0
lower26,literal,1024,32,10000,0.50,4,0,0,,,,0
lower26,literal,1024,32,10000,0.50,5,1,1,1356,17,17,0
lower26,literal,1024,32,10000,0.50,5,0,0,,,,0
lower26,literal,1024,32,10000,0.60,1,1,1,1356,20,20,0
lower26,literal,1024,32,10000,0.60,1,0,0,,,,0
lower26,literal,1024,32,10000,0.60,2,1,1,1356,20,20,0
